str,en,ru,kk
Activity,Activity,Активность,Қызмет
Saves,Saves,Спасение,Үнемдейді
Dhikr,Dhikr,Dhikr,Дхикр
Save dhikr,Save dhikr,Сохранить dhikr,dhikr Сактау
Last saved dhikrs,Last saved dhikrs,Последний спасенный Dhikrs,Соңғы сақталған Dhikrs
Edit dhikr,Edit dhikr,Редактировать Dhikr,DHIKR өңдеңіз
Save dhikr,Save dhikr,Сохранить DHIKR,ДХИКР САҚТАУ
Number of dhikrs:,Number of dhikrs:,Количество dhikrs:,DHIKR саны:
Enter title,Enter title,Введите заголовок,Тақырыпты енгізіңіз
Cancel,Cancel,Отмена,Күшін жою
Save,Save,Сохранять,Жинау
Settings,Settings,Настройки,Параметрлер
Name of the file dhikr,Name of the file dhikr,Имя файла dhikr,DHIKR файлын аты
